2024-05-21 10:46:18.436 [info] Log level: Info
2024-05-21 10:46:18.436 [info] Validating found git in: "git"
2024-05-21 10:46:18.436 [info] Using git "2.45.1" from "git"
2024-05-21 10:46:18.436 [info] > git rev-parse --show-toplevel [21ms]
2024-05-21 10:46:18.436 [info] > git rev-parse --show-toplevel [11ms]
2024-05-21 10:46:18.451 [info] > git rev-parse --show-toplevel [6ms]
2024-05-21 10:46:18.464 [info] > git rev-parse --show-toplevel [2ms]
2024-05-21 10:46:18.474 [info] > git rev-parse --show-toplevel [1ms]
2024-05-21 10:46:18.485 [info] > git rev-parse --show-toplevel [3ms]
2024-05-21 10:46:18.498 [info] > git rev-parse --show-toplevel [2ms]
2024-05-21 10:46:18.516 [info] > git rev-parse --show-toplevel [4ms]
2024-05-21 10:46:18.530 [info] > git rev-parse --show-toplevel [3ms]
2024-05-21 10:46:36.095 [info] > git rev-parse --show-toplevel [3ms]
